kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
10797460,K00752.01,CONFIRMED,9.48803557,2.775e-05,-2.775e-05,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,0.927,0.105,-0.061,35.8
10797460,K00752.02,CONFIRMED,54.4183827,0.0002479,-0.0002479,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,0.927,0.105,-0.061,25.8
10811496,K00753.01,CANDIDATE,19.89913995,1.494e-05,-1.494e-05,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,14.6,3.92,-1.31,0.868,0.233,-0.078,76.3
10848459,K00754.01,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,0.791,0.201,-0.067,505.6
10854555,K00755.01,CONFIRMED,2.525591777,3.761e-06,-3.761e-06,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1.046,0.334,-0.133,40.9
10872983,K00756.01,CONFIRMED,11.09432054,2.036e-05,-2.036e-05,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,0.972,0.315,-0.105,66.5
10872983,K00756.02,CONFIRMED,4.13443512,1.046e-05,-1.046e-05,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,0.972,0.315,-0.105,40.2
10872983,K00756.03,CONFIRMED,2.56658897,1.781e-05,-1.781e-05,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,0.972,0.315,-0.105,15.0
6721123,K00114.01,FALSE POSITIVE,7.36178958,2.128e-05,-2.128e-05,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1.958,0.322,-0.483,47.7
10910878,K00757.01,CONFIRMED,16.06864674,1.088e-05,-1.088e-05,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,0.848,0.033,-0.072,161.9
11446443,K00001.01,CONFIRMED,2.470613377,2.7e-08,-2.7e-08,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,13.04,0.51,-0.51,0.964,0.038,-0.038,4304.3
10666592,K00002.01,CONFIRMED,2.204735417,4.3e-08,-4.3e-08,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,1.952,0.099,-0.11,5945.9
6922244,K00010.01,CONFIRMED,3.522498429,1.98e-07,-1.98e-07,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1.451,0.11,-0.11,1741.5
10984090,K00112.02,CONFIRMED,3.709214104,6.536e-06,-6.536e-06,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,1.16,0.17,-0.12,1.022,0.143,-0.107,50.6
10419211,K00742.01,FALSE POSITIVE,11.521446064,1.98e-06,-1.98e-06,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,0.848,0.224,-0.075,622.1
10464078,K00743.01,FALSE POSITIVE,19.40393776,2.068e-05,-2.068e-05,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,0.68,0.072,-0.065,214.7
